,name,discription
632,                    frankincense extract                ,"Fragrant component used in skincare products; it can be a skin sensitizer, but is not considered a potent one. There is no research showing frankincense has any benefit for skin.Reference for this information:PDR for Herbal Medicines. 1st ed. Montvale, NJ: Medical Economics Company, Inc., 1998"
633,                    fructose                ,"Often called fruit sugar, fructose is a type of sugar composed of glucose. It has water-binding properties for skin."
634,                    fruit acid                ,
635,                    Fucus vesiculosus extract                ,
636,                    Fu ling                ,
637,                    fuller's earth                ,"Mineral substance that is similar to kaolin (a clay). Composed mainly of alumina, silica, iron oxides, lime, magnesia, and water, it is used as an absorbent and thickening agent in cosmetics."
638,                    galactoarabinan                ,Polysaccharide extracted from the western larch tree. It's a good hydrating ingredient for skin.
639,                    galbanum                ,"Fragrant substance that, because of its resin and volatile oil content containing monoterpenes can be extremely sensitizing on abraded skin. There is no research showing it has any benefit on skin, though it has natural, short-term (6 months) preservative qualities in emulsions.References for this information:Journal of Agricultural and Food Chemistry, February 2009, pages 1,433-1,439Encyclopedia of Common Natural Ingredients Used in Food, Drugs and Cosmetics. 2nd ed. New York, NY: John Wiley & Sons, 1996Biological and Pharmaceutical Bulletin, September 1993, pages 912-916"
640,                    gamma linolenic acid (GLA)                ,"Fatty acid used in cosmetics as an emollient and antioxidant. GLA is considered a skin-soothing agent. It's found in black currant oil or seeds, evening primrose oil, and borage oil.Reference for this information:Biochemical and Biophysical Research Communications, March 17, 1998, pages 414–420"
641,                    Ganoderma lucidum extract                ,"Mushroom stem extract. There is no research showing it to be effective when used topically on skin, although it does have antioxidant properties,Reference for this information:Journal of Agricultural and Food Chemistry, October 2002, pages 6072–6077"
642,                    Gardenia florida extract                ,"Flower extract used in cosmetics to impart fragrance; also functions as an antioxidant. There is limited research proving its benefit for skin, and its fragrance component may be sensitizing, thus canceling out the antioxidant benefit.Reference for this information:Natural Product Research, February 2007, pages 121–125"
643,                    gelatin                ,Protein obtained from plants or animals and used in cosmetics as a thickening agent. Its use has decreased considerably as more brands move away from formulating cosmetics with animal-derived ingredients.
644,                    gellan gum                ,"A plant-derived, high-weight, polysaccharide texture enhancer that also helps keep cosmetic formulas stable during storage and usage. It is produced via fermentation and then purified for use in cosmetics. References for this information:Advances in Bioscience and Biotechnology, January 2015, pages 22-36Food Technology and Biotechnology, October 2007, pages 341-354"
